id,age_min,age_max,raw_min,raw_max,standard,rank
hg2,9,10,21,21,11,0
hg2,9,10,22,24,10,0
hg2,9,10,25,26,9,0
hg2,9,10,27,27,8,0
hg2,9,10,28,29,7,0
hg2,9,10,30,32,6,1
hg2,9,10,33,33,5,2
hg2,9,10,34,36,4,2
hg2,9,10,37,44,3,2
hg2,9,10,45,inf,2,2

hg3,5,6,0,1,11,0
hg3,5,6,2,2,9,0
hg3,5,6,3,3,4,2
hg3,5,6,4,4,3,2
hg3,5,6,5,inf,1,2

hg3,6,7,0,0,11,0
hg3,6,7,1,1,7,0
hg3,6,7,2,2,3,2
hg3,6,7,3,inf,1,2

hg3,7,8,0,0,12,0
hg3,7,8,1,1,10,0
hg3,7,8,2,2,8,0
hg3,7,8,3,3,5,2
hg3,7,8,4,4,3,2
hg3,7,8,5,5,2,2
hg3,7,8,6,inf,1,2

hg3,8,9,0,0,12,0
hg3,8,9,1,1,6,1
hg3,8,9,2,2,5,2
hg3,8,9,3,3,4,2
hg3,8,9,4,inf,1,2

hg3,9,10,0,0,11,0
hg3,9,10,1,1,6,1
hg3,9,10,2,2,4,2
hg3,9,10,3,3,3,2
hg3,9,10,4,inf,1,2

bf1,5,6,10,inf,16,0
bf1,5,6,9,9,12,0
bf1,5,6,8,8,10,0
bf1,5,6,6,7,9,0
bf1,5,6,4,5,8,0
bf1,5,6,2,3,7,0
bf1,5,6,0,1,5,2

bf1,6,7,10,inf,14,0
bf1,6,7,9,9,9,0
bf1,6,7,8,8,8,0
bf1,6,7,6,7,7,0
bf1,6,7,5,5,6,1
bf1,6,7,4,4,5,2
bf1,6,7,3,3,4,2
bf1,6,7,0,2,3,2

bf1,7,8,10,inf,17,0
bf1,7,8,9,9,15,0
bf1,7,8,8,8,11,0
bf1,7,8,6,7,10,0
bf1,7,8,5,5,9,0
bf1,7,8,4,4,8,0
bf1,7,8,2,3,7,0
bf1,7,8,1,1,6,1
bf1,7,8,0,0,5,2

bf1,8,9,10,inf,15,0
bf1,8,9,9,9,12,0
bf1,8,9,8,8,10,0
bf1,8,9,7,7,9,0
bf1,8,9,6,6,8,0
bf1,8,9,4,5,7,0
bf1,8,9,3,3,6,1
bf1,8,9,1,2,5,2
bf1,8,9,0,0,4,2

bf1,9,10,10,inf,15,0
bf1,9,10,9,9,12,0
bf1,9,10,6,8,10,0
bf1,9,10,2,5,9,0
bf1,9,10,1,1,8,0
bf1,9,10,0,0,5,2

bf2,5,6,10,inf,19,0
bf2,5,6,9,9,14,0
bf2,5,6,8,8,13,0
bf2,5,6,7,7,12,0
bf2,5,6,6,6,11,0
bf2,5,6,5,5,10,0
bf2,5,6,4,4,8,0
bf2,5,6,3,3,5,2
bf2,5,6,2,2,4,2
bf2,5,6,1,1,2,2
bf2,5,6,0,0,1,2

bf2,6,7,10,inf,16,0
bf2,6,7,9,9,14,0
bf2,6,7,8,8,13,0
bf2,6,7,7,7,11,0
bf2,6,7,6,6,9,0
bf2,6,7,5,5,8,0
bf2,6,7,4,4,7,0
bf2,6,7,3,3,5,2
bf2,6,7,2,2,4,2
bf2,6,7,1,1,3,2
bf2,6,7,0,0,1,2

bf2,7,8,10,inf,17,0
bf2,7,8,9,9,15,0
bf2,7,8,8,8,12,0
bf2,7,8,7,7,11,0
bf2,7,8,5,6,9,0
bf2,7,8,4,4,7,0
bf2,7,8,2,3,5,2
bf2,7,8,0,1,3,2

bf2,8,9,10,inf,17,0
bf2,8,9,9,9,14,0
bf2,8,9,7,8,11,0
bf2,8,9,6,6,8,0
bf2,8,9,5,5,6,1
bf2,8,9,4,4,5,2
bf2,8,9,3,3,4,2
bf2,8,9,0,2,3,2

bf2,9,10,10,inf,14,0
bf2,9,10,9,9,12,0
bf2,9,10,7,8,11,0
bf2,9,10,6,6,8,0
bf2,9,10,5,5,6,1
bf2,9,10,4,4,5,2
bf2,9,10,3,3,4,2
bf2,9,10,0,2,3,2

bl11,5,6,30,inf,13,0
bl11,5,6,21,29,11,0
bl11,5,6,15,20,10,0
bl11,5,6,11,14,9,0
bl11,5,6,8,10,8,0
bl11,5,6,6,7,7,0
bl11,5,6,5,5,6,1
bl11,5,6,4,4,4,2
bl11,5,6,0,3,3,2

bl11,6,7,30,inf,13,0
bl11,6,7,28,29,10,0
bl11,6,7,24,27,9,0
bl11,6,7,15,23,8,0
bl11,6,7,11,14,7,0
bl11,6,7,7,10,6,1
bl11,6,7,6,6,5,2
bl11,6,7,4,5,4,2
bl11,6,7,0,3,3,2

bl11,7,8,28,inf,14,0
bl11,7,8,25,27,12,0
bl11,7,8,20,24,11,0
bl11,7,8,16,19,10,0
bl11,7,8,11,15,9,0
bl11,7,8,8,10,8,0
bl11,7,8,6,7,7,0
bl11,7,8,5,5,6,1
bl11,7,8,4,4,5,2
bl11,7,8,2,3,4,2
bl11,7,8,0,1,3,2

bl11,8,9,29,inf,13,0
bl11,8,9,26,28,12,0
bl11,8,9,22,25,11,0
bl11,8,9,19,21,10,0
bl11,8,9,13,18,9,0
bl11,8,9,11,12,8,0
bl11,8,9,9,10,7,0
bl11,8,9,8,8,6,1
bl11,8,9,6,6,5,2
bl11,8,9,4,4,4,2
bl11,8,9,0,3,3,2

bl11,9,10,30,inf,13,0
bl11,9,10,29,29,12,0
bl11,9,10,26,28,11,0
bl11,9,10,23,25,10,0
bl11,9,10,19,22,9,0
bl11,9,10,15,18,8,0
bl11,9,10,10,14,7,0
bl11,9,10,8,9,6,1
bl11,9,10,6,7,5,2
bl11,9,10,4,5,4,2
bl11,9,10,0,3,3,2

bl12,5,6,27,inf,15,0
bl12,5,6,25,26,14,0
bl12,5,6,21,24,13,0
bl12,5,6,16,20,12,0
bl12,5,6,14,15,11,0
bl12,5,6,10,13,10,0
bl12,5,6,7,9,9,0
bl12,5,6,5,6,8,0
bl12,5,6,4,4,7,0
bl12,5,6,3,3,6,1
bl12,5,6,2,2,5,2
bl12,5,6,0,1,3,2

bl12,6,7,29,inf,14,0
bl12,6,7,24,28,11,0
bl12,6,7,18,23,10,0
bl12,6,7,14,17,9,0
bl12,6,7,7,13,8,0
bl12,6,7,4,6,7,0
bl12,6,7,3,3,6,1
bl12,6,7,2,2,5,2
bl12,6,7,0,1,3,2

bl12,7,8,30,inf,16,0
bl12,7,8,23,29,15,0
bl12,7,8,20,22,14,0
bl12,7,8,16,19,13,0
bl12,7,8,12,15,12,0
bl12,7,8,8,11,11,0
bl12,7,8,6,7,10,0
bl12,7,8,5,5,9,0
bl12,7,8,4,4,8,0
bl12,7,8,3,3,7,0
bl12,7,8,2,2,5,2
bl12,7,8,0,1,4,2

bl12,8,9,27,inf,15,0
bl12,8,9,25,26,14,0
bl12,8,9,19,24,13,0
bl12,8,9,15,18,12,0
bl12,8,9,9,14,11,0
bl12,8,9,7,8,10,0
bl12,8,9,6,6,9,0
bl12,8,9,5,5,8,0
bl12,8,9,4,4,7,0
bl12,8,9,3,3,5,2
bl12,8,9,2,2,4,2
bl12,8,9,0,1,3,2

bl12,9,10,25,inf,13,0
bl12,9,10,17,24,12,0
bl12,9,10,10,16,11,0
bl12,9,10,8,9,10,0
bl12,9,10,6,7,9,0
bl12,9,10,5,5,8,0
bl12,9,10,4,4,7,0
bl12,9,10,3,3,5,2
bl12,9,10,2,2,4,2
bl12,9,10,0,1,3,2

bl2,5,6,15,inf,12,0
bl2,5,6,14,14,10,0
bl2,5,6,13,13,8,0
bl2,5,6,11,12,6,1
bl2,5,6,7,10,5,2
bl2,5,6,5,6,4,2
bl2,5,6,3,4,3,2
bl2,5,6,2,2,2,2
bl2,5,6,0,1,1,2

bl2,6,7,15,inf,11,0
bl2,6,7,14,14,10,0
bl2,6,7,13,13,8,0
bl2,6,7,11,12,6,1
bl2,6,7,9,10,5,2
bl2,6,7,6,8,4,2
bl2,6,7,0,5,1,2

bl2,7,8,15,inf,12,0
bl2,7,8,14,14,10,0
bl2,7,8,13,13,8,0
bl2,7,8,11,12,6,1
bl2,7,8,10,10,5,2
bl2,7,8,8,9,4,2
bl2,7,8,2,7,3,2
bl2,7,8,0,1,2,2

bl2,8,9,15,inf,11,0
bl2,8,9,13,14,7,0
bl2,8,9,11,12,6,1
bl2,8,9,10,10,5,2
bl2,8,9,8,9,4,2
bl2,8,9,2,7,3,2
bl2,8,9,0,1,2,2

bl2,9,10,15,inf,11,0
bl2,9,10,14,14,7,0
bl2,9,10,13,13,4,2
bl2,9,10,11,12,3,2
bl2,9,10,8,10,2,2
bl2,9,10,0,7,1,2

bl3,5,6,5,inf,12,0
bl3,5,6,4,4,6,1
bl3,5,6,3,3,4,2
bl3,5,6,1,2,3,2
bl3,5,6,0,0,1,2

bl3,6,7,5,inf,11,0
bl3,6,7,4,4,6,1
bl3,6,7,3,3,2,2
bl3,6,7,0,2,1,2

bl31,7,8,5,inf,11,0
bl31,7,8,4,4,4,2
bl31,7,8,2,3,3,2
bl31,7,8,0,1,1,2

bl31,8,9,5,inf,11,0
bl31,8,9,4,4,4,2
bl31,8,9,2,3,3,2
bl31,8,9,0,1,1,2

bl31,9,10,5,inf,11,0
bl31,9,10,4,4,3,2
bl31,9,10,2,3,2,2
bl31,9,10,0,1,1,2

bl32,7,8,5,inf,13,0
bl32,7,8,4,4,9,0
bl32,7,8,3,3,6,1
bl32,7,8,2,2,5,2
bl32,7,8,1,1,4,2
bl32,7,8,0,0,3,2

bl32,8,9,5,inf,12,0
bl32,8,9,4,4,6,1
bl32,8,9,3,3,5,2
bl32,8,9,2,2,4,2
bl32,8,9,1,1,3,2
bl32,8,9,0,0,2,2

bl32,9,10,5,inf,12,0
bl32,9,10,4,4,6,1
bl32,9,10,3,3,5,2
bl32,9,10,2,2,4,2
bl32,9,10,1,1,3,2
bl32,9,10,0,0,2,2
